# Mt Hood Test Site (651)
# Oregon  SNOTEL Site - 5370 ft
# Daily Data for Period of Record
#
# (As of: Mon Nov 10 19:54:47 PST 2014)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-07-02,,,32,32,32,
1980-07-03,,,32,32,32,
1980-07-04,,,32,32,32,
1980-07-05,,,32,32,32,
1980-07-06,,,32,32,32,
1980-07-07,,,32,32,32,
1980-07-08,,,32,32,32,
1980-07-09,,,32,32,32,
1980-07-10,,,32,32,32,
1980-07-11,,,32,32,32,
1980-07-12,,,32,32,32,
1980-07-13,,,32,32,32,
1980-07-14,,,32,32,32,
1980-07-15,,,32,32,32,
1980-07-16,,,32,32,32,
1980-07-17,,,32,32,32,
1980-07-18,,,32,32,32,
1980-07-19,,,32,32,32,
1980-07-20,,,32,32,32,
1980-07-21,,,32,32,32,
1980-07-22,,,32,32,32,
1980-07-23,,,32,32,32,
1980-07-24,,,32,32,32,
1980-07-25,,,32,32,32,
1980-07-26,,,32,32,32,
1980-07-27,,,32,32,32,
1980-07-28,,,32,32,32,
1980-07-29,,,32,32,32,
1980-07-30,,,32,32,32,
1980-07-31,,,32,32,32,
1980-08-01,,,32,32,32,
1980-08-02,,,32,32,32,
1980-08-03,,,32,32,32,
1980-08-04,,,32,32,32,
1980-08-05,,,32,32,32,
1980-08-06,,,32,32,32,
1980-08-07,,,32,32,32,
1980-08-08,,,32,32,32,
1980-08-09,,,32,32,32,
1980-08-10,,,32,32,32,
1980-08-11,,,32,32,32,
1980-08-12,,,32,32,32,
1980-08-13,,,32,32,32,
1980-08-14,,,32,32,32,
1980-08-15,,,32,32,32,
1980-08-16,,,32,32,32,
1980-08-17,,,32,32,32,
1980-08-18,,,32,32,32,
1980-08-19,,,32,32,32,
1980-08-20,,,32,32,32,
1980-08-21,,,32,32,32,
1980-08-22,,,32,32,32,
1980-08-23,,,32,32,32,
1980-08-24,,,32,32,32,
1980-08-25,,,32,32,32,
1980-08-26,,,,,,
1980-08-27,,,,,,
1980-08-28,,,,,,
1980-08-29,,,,,,
1980-08-30,,,,,,
1980-08-31,,,,,,
1980-09-01,,,,,,
1980-09-02,,,,,,
1980-09-03,,,,,,
1980-09-04,,,,,,
1980-09-05,,,,,,
1980-09-06,,,,,,
1980-09-07,,,,,,
1980-09-08,,,,,,
1980-09-09,,,,,,
1980-09-10,,,,,,
1980-09-11,,,32,32,32,
1980-09-12,,,32,32,32,
1980-09-13,,,32,32,32,
1980-09-14,,,32,32,32,
1980-09-15,,,32,32,32,
1980-09-16,,,32,32,32,
1980-09-17,,,,,,
1980-09-18,,,,,,
1980-09-19,,,,,,
1980-09-20,,,,,,
1980-09-21,,,,,,
1980-09-22,,,,,,
1980-09-23,,,,,,
1980-09-24,,,,,,
1980-09-25,,,,,,
1980-09-26,,,,,,
1980-09-27,,,,,,
1980-09-28,,,,,,
1980-09-29,,,,,,
1980-09-30,,,,,,
1980-10-01,0.0,0.0,,,,0.10
1980-10-02,0.0,0.1,,,,0.40
1980-10-03,0.0,0.5,,,,0.10
1980-10-04,0.0,0.6,,,,0.10
1980-10-05,0.0,0.7,,,,0.00
1980-10-06,0.0,0.7,,,,0.00
1980-10-07,0.0,0.7,,,,0.00
1980-10-08,0.0,0.7,,,,0.00
1980-10-09,0.0,0.7,,,,0.00
1980-10-10,0.0,0.7,,,,0.00
1980-10-11,0.0,0.7,,,,0.00
1980-10-12,0.0,0.7,,,,0.00
1980-10-13,0.0,0.7,,,,0.00
1980-10-14,0.0,0.7,,,,0.00
1980-10-15,0.0,0.7,,,,0.00
1980-10-16,0.0,0.7,,,,0.00
1980-10-17,0.0,0.7,,,,0.00
1980-10-18,0.0,0.7,,,,0.00
1980-10-19,0.0,0.7,,,,0.00
1980-10-20,0.0,0.7,,,,0.00
1980-10-21,0.0,0.7,,,,0.00
1980-10-22,0.0,0.7,,,,0.00
1980-10-23,0.0,0.7,,,,0.00
1980-10-24,0.0,0.7,,,,0.10
1980-10-25,0.0,0.8,,,,0.00
1980-10-26,0.0,0.8,,,,0.00
1980-10-27,0.0,0.8,,,,0.00
1980-10-28,0.0,0.8,,,,0.00
1980-10-29,0.0,0.8,,,,0.00
1980-10-30,0.0,0.8,,,,0.00
1980-10-31,0.0,0.8,,,,0.00
1980-11-01,0.0,0.8,,,,0.20
1980-11-02,0.0,1.0,,,,0.20
1980-11-03,0.0,1.2,,,,0.20
1980-11-04,0.0,1.4,,,,0.00
1980-11-05,0.0,1.4,,,,0.20
1980-11-06,0.0,1.6,,,,2.10
1980-11-07,0.0,3.7,,,,2.10
1980-11-08,0.0,5.8,,,,0.40
1980-11-09,0.0,6.2,,,,0.70
1980-11-10,0.0,6.9,,,,0.00
1980-11-11,0.0,6.9,,,,0.00
1980-11-12,0.0,6.9,,,,0.00
1980-11-13,0.0,6.9,,,,0.00
1980-11-14,0.0,6.9,,,,0.70
1980-11-15,0.3,7.6,,,,0.00
1980-11-16,0.3,7.6,,,,0.00
1980-11-17,0.3,7.6,,,,0.20
1980-11-18,0.2,7.8,,,,0.00
1980-11-19,0.2,7.8,,,,0.00
1980-11-20,0.2,7.8,,,,0.10
1980-11-21,0.0,7.9,,,,1.30
1980-11-22,0.5,9.2,,,,0.20
1980-11-23,0.6,9.4,,,,0.20
1980-11-24,0.7,9.6,,,,0.10
1980-11-25,0.8,9.7,,,,0.00
1980-11-26,0.8,9.7,,,,0.00
1980-11-27,0.8,9.7,,,,0.60
1980-11-28,1.0,10.3,,,,0.70
1980-11-29,1.7,11.0,,,,0.70
1980-11-30,1.9,11.7,,,,0.20
1980-12-01,2.0,11.9,,,,1.10
1980-12-02,2.5,13.0,,,,3.20
1980-12-03,3.9,16.2,,,,1.40
1980-12-04,4.9,17.6,,,,1.10
1980-12-05,5.2,18.7,,,,0.70
1980-12-06,6.0,19.4,,,,0.70
1980-12-07,6.5,20.1,,,,0.00
1980-12-08,6.5,20.1,,,,0.00
1980-12-09,6.5,20.1,,,,0.00
1980-12-10,6.5,20.1,,,,0.00
1980-12-11,6.5,20.1,,,,0.00
1980-12-12,6.5,20.1,,,,0.00
1980-12-13,6.5,20.1,,,,0.10
1980-12-14,6.6,20.2,,,,0.00
1980-12-15,6.6,20.2,,,,0.00
1980-12-16,6.6,20.2,,,,0.00
1980-12-17,6.6,20.2,,,,0.00
1980-12-18,6.6,20.2,,,,0.00
1980-12-19,6.6,20.2,,,,0.20
1980-12-20,6.7,20.4,,,,0.80
1980-12-21,6.5,21.2,,,,2.50
